product_category,customer_state,total_sales_revenue,quantity_sold
"Agro Industria e Comercio",AL,1476.3,1
telephony,MS,1475.69,28
"musical instruments",GO,1472.84,9
"Industry Commerce and Business",SC,1470.88,16
"stationary store",MA,1455.89,20
"Fashion Bags and Accessories",RN,1455.79,8
drinks,PR,1449.32,15
"Fashion Women's Clothing",SP,1448.97,28
"Market Place",SC,1448.69,14
babies,SE,1447.49,8
electronics,PI,1446.84,22
"Room Furniture",ES,1441.32,14
"ELECTRICES 2",RN,1439.9,2
PCs,AP,1437,1
"General Interest Books",RN,1432.6,27
audio,BA,1430.69,14
"Industry Commerce and Business",GO,1428.14,7
"Casa Construcao",MS,1408,8
"Room Furniture",DF,1405.66,7
"pet Shop",PI,1396.78,7
"SIGNALIZATION AND SAFETY",RS,1392.45,17
"fixed telephony",TO,1390.99,2
"Watches present",AC,1389.6,4
automotive,RO,1389.16,10
"HEALTH BEAUTY",AC,1386.58,7
"Furniture office",PI,1382.6,9
"musical instruments",PI,1381.6,6
"Room Furniture",GO,1381.57,10
"HEALTH BEAUTY",AP,1380.58,10
"Construction Tools Construction",RO,1374.5,4
Art,MG,1366.54,18
"Bags Accessories",MS,1365.63,9
"sport leisure",AM,1362.6,12
"Fashion Underwear and Beach Fashion",RJ,1359.47,17
"General Interest Books",CE,1353.05,7
"sport leisure",RR,1350.6,8
"Casa Construcao",PE,1341.65,7
PCs,AM,1340,1
"Games consoles",MA,1331.53,6
"Games consoles",MT,1330.49,9
"Furniture Kitchen Service Area Dinner and Garden",DF,1323.8,5
"Furniture Decoration",AC,1316.44,12
"home appliances",MA,1297.8,3
perfumery,RO,1291.3,6
"computer accessories",AC,1290.48,9
housewares,TO,1275.75,14
"Industry Commerce and Business",DF,1272,6
"Christmas articles",MG,1271.33,19
telephony,TO,1268.12,21
housewares,SE,1267.48,10
"General Interest Books",DF,1245.89,18
"Furniture office",RN,1244.72,5
"fixed telephony",MG,1244.6,17
"Construction Tools Construction",GO,1233.16,11
"Furniture office",TO,1226.54,6
"Fashion Calcados",PE,1221.42,11
automotive,AP,1216.39,3
"stationary store",PI,1208.6,11
"Industry Commerce and Business",PR,1207.87,12
"Garden tools",TO,1206.3,13
"Bags Accessories",MA,1202.43,9
PCs,AC,1200,1
PCs,TO,1200,1
audio,ES,1197.78,14
"Construction Tools Construction",AL,1195,2
"Furniture office",PB,1191.33,10
"Bags Accessories",RO,1181.6,6
"CONSTRUCTION SECURITY TOOLS",RS,1176.31,8
"House comfort",BA,1170.4,11
song,GO,1165.97,1
"Fashion Bags and Accessories",PB,1151.07,15
"ELECTRICES 2",ES,1149.99,3
"pet Shop",CE,1141.04,13
"Bags Accessories",MT,1139.59,8
"technical books",ES,1138.6,14
"Kitchen portable and food coach",MG,1133.9,2
"home appliances",ES,1120.96,15
"Construction Tools Tools",RS,1113.4,8
"House comfort",GO,1110.5,8
"Agro Industria e Comercio",PA,1109.98,2
"cine photo",SC,1106.89,4
electronics,SE,1105.84,19
telephony,AC,1103.96,5
"party articles",MG,1103,5
toys,SE,1100.29,11
